blockId_s,length_r,grade_r,speedLimit_r,elevation_r,prevBlock1_s,prevBlock2_s,nextBlock1_s,nextBlock2_s,underground_b,crossing_b,station_s,direction_s
B_A_1,50,0,50,0,START_T,,B_A_2,,TRUE,FALSE,,BIDIRECTIONAL
B_A_2,50,0,50,0,B_A_1,,B_A_3,,TRUE,FALSE,,BIDIRECTIONAL
B_A_3,50,0,50,0,B_A_2,,B_A_4,,TRUE,FALSE,,BIDIRECTIONAL
B_A_4,50,0,50,0,B_A_3,,B_A_5,,TRUE,FALSE,,BIDIRECTIONAL
B_A_5,50,0,50,0,B_A_4,,B_B_6,B_C_11,TRUE,FALSE,,BIDIRECTIONAL
B_B_6,50,0,50,0,B_A_5,PASSIVE,B_B_7,,TRUE,FALSE,,BIDIRECTIONAL
B_B_7,50,0,50,0,B_B_6,,B_B_8,,TRUE,FALSE,,BIDIRECTIONAL
B_B_8,50,0,50,0,B_B_7,,B_B_9,,TRUE,FALSE,,BIDIRECTIONAL
B_B_9,50,0,50,0,B_B_8,,B_B_10,,TRUE,FALSE,,BIDIRECTIONAL
B_B_10,50,0,50,0,B_B_9,,END_T,,TRUE,FALSE,B_LR,BIDIRECTIONAL
B_C_11,50,0,50,0,B_B_10,PASSIVE,B_C_12,,TRUE,FALSE,,BIDIRECTIONAL
B_C_12,50,0,50,0,B_C_11,,B_C_13,,TRUE,FALSE,,BIDIRECTIONAL
B_C_13,50,0,50,0,B_C_12,,B_C_14,,TRUE,FALSE,,BIDIRECTIONAL
B_C_14,50,0,50,0,B_C_13,,B_C_15,,TRUE,FALSE,,BIDIRECTIONAL
B_C_15,50,0,50,0,B_C_14,,END_B,,TRUE,FALSE,C_LR,BIDIRECTIONAL
